name,entity_link
two night stand (2014),<http://dbpedia.org/resource/Two_Night_Stand>
frankenstein (1931),<http://dbpedia.org/resource/Frankenstein_(1931_film)>
hands of a stranger (1962),<http://dbpedia.org/resource/Hands_of_a_Stranger>
the birds (1963),<http://dbpedia.org/resource/The_Birds_(film)>
hitchcock (2012),<http://dbpedia.org/resource/Hitchcock_(film)>
thinner (1996),<http://dbpedia.org/resource/Thinner_(film)>
event horizon (1997),<http://dbpedia.org/resource/Event_Horizon_(film)>
alien abduction (2014),<http://dbpedia.org/resource/Alien_Abduction_(2014_film)>
the grinch (2018),<http://dbpedia.org/resource/The_Grinch_(film)>
winter (2015),<http://dbpedia.org/resource/GirlsAward_2015_Autumn/Winter>
isn't it romantic (2019),<http://dbpedia.org/resource/Isn't_It_Romantic_(2019_film)>
the hustle (2019),<http://dbpedia.org/resource/The_Hustle_(film)>
dirty rotten scoundrels (1988),<http://dbpedia.org/resource/Dirty_Rotten_Scoundrels_(film)>
ready or not (2019),<http://dbpedia.org/resource/Ready_or_Not_(2019_film)>
honeymoon (2014),<http://dbpedia.org/resource/Honeymoon_(2014_film)>
happy death day 2u (2019),<http://dbpedia.org/resource/Happy_Death_Day_2U>
hereditary (2018),<http://dbpedia.org/resource/Hereditary_(film)>
paranormal activity (2007),<http://dbpedia.org/resource/Paranormal_Activity_(film_series)>
little (2019),<http://dbpedia.org/resource/Little_(film)>
bride wars (2009),<http://dbpedia.org/resource/Bride_Wars>
the thing (1982),<http://dbpedia.org/resource/The_Thing_(1982_film)>
the beast within (1982),<http://dbpedia.org/resource/The_Beast_Within>
alien: covenant (2017),<http://dbpedia.org/resource/Alien:_Covenant>
pumpkinhead (1988),<http://dbpedia.org/resource/Pumpkinhead_(film)>
the avengers (2012),<http://dbpedia.org/resource/The_Avengers_(2012_film)>
maleficent (2014),<http://dbpedia.org/resource/Maleficent_(film)>
jeepers creepers 3 (2017),<http://dbpedia.org/resource/Jeepers_Creepers_3>
thor (2011),<http://dbpedia.org/resource/Thor_(film)>
martian child (2007),<http://dbpedia.org/resource/Martian_Child>
arrival (2016),<http://dbpedia.org/resource/Arrival_(film)>
gretel & hansel (2020),<http://dbpedia.org/resource/Gretel_&_Hansel>
office space (1999),<http://dbpedia.org/resource/Office_Space>
the good place (2016),<http://dbpedia.org/resource/The_Good_Place>
sweet november (2001),<http://dbpedia.org/resource/Sweet_November_(2001_film)>
crazy rich asians (2018),<http://dbpedia.org/resource/Crazy_Rich_Asians_(film)>
jumping the broom (2011),<http://dbpedia.org/resource/Jumping_the_Broom>
murder mystery (1999),<http://dbpedia.org/resource/Murder_Mystery_(band)>
the princess bride (1987),<http://dbpedia.org/resource/The_Princess_Bride_(film)>
the breakfast club (1985),<http://dbpedia.org/resource/The_Breakfast_Club>
baby driver (2017),<http://dbpedia.org/resource/Baby_Driver>
it (2017),<http://dbpedia.org/resource/It_(2017_film)>
spider-man: into the spider-verse (2018),<http://dbpedia.org/resource/Spider-Man:_Into_the_Spider-Verse>
little women (2019),<http://dbpedia.org/resource/Little_Women_(2019_film)>
treed murray (2001),<http://dbpedia.org/resource/Treed_Murray>
moonrise kingdom (2012),<http://dbpedia.org/resource/Moonrise_Kingdom>
lion (2016),<http://dbpedia.org/resource/Lion_(2016_film)>
the imitation game (2014),<http://dbpedia.org/resource/The_Imitation_Game>
silent library (2009),<http://dbpedia.org/resource/Silent_Library_(TV_series)>
my best friend's wedding (1997),<http://dbpedia.org/resource/My_Best_Friend's_Wedding>
grease (1978),<http://dbpedia.org/resource/Grease_(film)>
hairspray (2007),<http://dbpedia.org/resource/Hairspray_(2007_film)>
girls trip (2017),<http://dbpedia.org/resource/Girls_Trip>
lol (2012),<http://dbpedia.org/resource/LOL_(2012_film)>
mr. right (2015),<http://dbpedia.org/resource/Mr._Right_(2015_film)>
it takes two (1995),<http://dbpedia.org/resource/It_Takes_Two_(1995_film)>
the wedding date (2005),<http://dbpedia.org/resource/The_Wedding_Date>
must love dogs (2005),<http://dbpedia.org/resource/Must_Love_Dogs>
valentine's day (2010),<http://dbpedia.org/resource/Valentine's_Day_(2010_film)>
captain phillips (2013),<http://dbpedia.org/resource/Captain_Phillips_(film)>
forrest gump (1994),<http://dbpedia.org/resource/Forrest_Gump>
philadelphia (1993),<http://dbpedia.org/resource/Philadelphia_(film)>
rollercoaster (1977),<http://dbpedia.org/resource/Rollercoaster_(1977_film)>
quarantine l.a. (2013),<http://dbpedia.org/resource/Quarantine_L.A.>
eagle eye (2008),<http://dbpedia.org/resource/Eagle_Eye>
transcendence (2014),<http://dbpedia.org/resource/Transcendence_(2014_film)>
the gentlemen (2019),<http://dbpedia.org/resource/The_Gentlemen_(2019_film)>
the purge (2013),<http://dbpedia.org/resource/The_Purge_(2013_film)>
indiana jones and the temple of doom (1984),<http://dbpedia.org/resource/Indiana_Jones_and_the_Temple_of_Doom>
us (2019),<http://dbpedia.org/resource/Us_(2019_film)>
galaxy quest (1999),<http://dbpedia.org/resource/Galaxy_Quest>
passengers (2016),<http://dbpedia.org/resource/Passengers_(2016_film)>
evolution (2001),<http://dbpedia.org/resource/Evolution_(2001_film)>
shoot (1976),<http://dbpedia.org/resource/Shoot_(film)>
ghostbusters (2016),<http://dbpedia.org/resource/Ghostbusters_(2016_film)>
i am michael (2015),<http://dbpedia.org/resource/I_Am_Michael>
marley (2012),<http://dbpedia.org/resource/Marley_(film)>
given (2017),<http://dbpedia.org/resource/Action_(1980_film)>
mad max (1980),<http://dbpedia.org/resource/Twice_Born>
a christmas story 2 (2012),<http://dbpedia.org/resource/A_Christmas_Story_2>
ma (2019),<http://dbpedia.org/resource/Ma_(film)>
august (2008),<http://dbpedia.org/resource/August_(2008_film)>
crown for christmas (2015),<http://dbpedia.org/resource/Crown_for_Christmas>
grown ups (2010),<http://dbpedia.org/resource/Grown_Ups_(film)>
"good morning, night (2003)","<http://dbpedia.org/resource/Good_Morning,_Night>"
comedian (2002),<http://dbpedia.org/resource/Comedian_(film)>
glass (2019),<http://dbpedia.org/resource/Glass_(2019_film)>
paranormal activity 3 (2011),<http://dbpedia.org/resource/Paranormal_Activity_3>
the chronicles of riddick: pitch black (2000),<http://dbpedia.org/resource/Riddick_(film)>
top gun (1986),<http://dbpedia.org/resource/Top_Gun>
enough (2002),<http://dbpedia.org/resource/Enough_(film)>
enemy of the state (1998),<http://dbpedia.org/resource/Enemy_of_the_State_(film)>
hancock (2008),<http://dbpedia.org/resource/Hancock_(film)>
after earth (2013),<http://dbpedia.org/resource/After_Earth>
the equalizer (2014),<http://dbpedia.org/resource/The_Equalizer_(film)>
the post (2017),<http://dbpedia.org/resource/The_Post_(film)>
my best friend (2016),<http://dbpedia.org/resource/Green_Book_(film)>
green book (2018),<http://dbpedia.org/resource/Die_Hard>
daddy (2015),<http://dbpedia.org/resource/Daddy_(2015_film)>
money train (1995),<http://dbpedia.org/resource/Money_Train>
jack reacher (2012),<http://dbpedia.org/resource/Jack_Reacher_(film)>
notting hill (1999),<http://dbpedia.org/resource/Notting_Hill_(film)>
maid in manhattan (2002),<http://dbpedia.org/resource/Maid_in_Manhattan>
under the skin (2013),<http://dbpedia.org/resource/Under_the_Skin_(2013_film)>
the grand (2007),<http://dbpedia.org/resource/Grand_Theft_Auto_(film)>
rambo iii (1988),<http://dbpedia.org/resource/Rambo_III>
frozen 2 (2019),<http://dbpedia.org/resource/Snow_Queen_(2002_film)>
the addams family (2019),<http://dbpedia.org/resource/The_Addams_Family_(2019_film)>
power (2014),<http://dbpedia.org/resource/Power_(2014_Kannada_film)>
power (1986),<http://dbpedia.org/resource/Power_(1986_film)>
the lincoln lawyer (2011),<http://dbpedia.org/resource/The_Lincoln_Lawyer_(film)>
misconduct (2016),<http://dbpedia.org/resource/Misconduct_(film)>
marshall (2017),<http://dbpedia.org/resource/Marshall_(film)>
home (2015),<http://dbpedia.org/resource/Home_(2015_film)>
angry birds (2016),<http://dbpedia.org/resource/Ice_Age_(2002_film)>
over the hedge (2006),<http://dbpedia.org/resource/Over_the_Hedge_(film)>
playmobil: the movie (2019),<http://dbpedia.org/resource/Playmobil:_The_Movie>
superman (1978),<http://dbpedia.org/resource/Superman_(1978_film)>
wonder woman (2017),<http://dbpedia.org/resource/Wonder_Woman_(2017_film)>
today (1930),<http://dbpedia.org/resource/Today_(1930_film)>
now you see me (2013),<http://dbpedia.org/resource/Now_You_See_Me_(film)>
enemy (2013),<http://dbpedia.org/resource/Enemy_(2013_film)>
shoah (1985),<http://dbpedia.org/resource/Shoah_(film)>
hoop dreams (1994),<http://dbpedia.org/resource/Hoop_Dreams>
"aguirre, the wrath of god (1972)","<http://dbpedia.org/resource/Aguirre,_the_Wrath_of_God>"
el dorado (1967),<http://dbpedia.org/resource/Amazon_(1997_film)>
halloween (1978),<http://dbpedia.org/resource/Halloween_(1978_film)>
blood and bone (2009),<http://dbpedia.org/resource/Blood_and_Bone>
running scared (2006),<http://dbpedia.org/resource/Running_Scared_(2006_film)>
close (2019),<http://dbpedia.org/resource/Close_(2019_film)>
chicago (2002),<http://dbpedia.org/resource/Chicago_(2002_film)>
west (2007),<http://dbpedia.org/resource/West_(2007_film)>
john carter (2012),<http://dbpedia.org/resource/John_Carter_(film)>
manson (1973),<http://dbpedia.org/resource/Manson_(film)>
the game (1997),<http://dbpedia.org/resource/The_Game_(1997_film)>
13 sins (2014),<http://dbpedia.org/resource/13_Sins>
the boys (2019),<http://dbpedia.org/resource/The_Boys_(2019_TV_series)>
sparks (2013),<http://dbpedia.org/resource/Sparks_(film)>
dixie (1943),<http://dbpedia.org/resource/Dixie_(film)>
troops (1997),<http://dbpedia.org/resource/Troops_(film)>
dumb and dumber (1994),<http://dbpedia.org/resource/Dumb_and_Dumber>
coming to america (1988),<http://dbpedia.org/resource/Coming_to_America>
weird science (1985),<http://dbpedia.org/resource/Weird_Science_(film)>
miss congeniality (2000),<http://dbpedia.org/resource/Miss_Congeniality_(film)>
foxy brown (1974),<http://dbpedia.org/resource/Foxy_Brown_(film)>
midsommar (2019),<http://dbpedia.org/resource/Midsommar>
50 first dates (2004),<http://dbpedia.org/resource/50_First_Dates>
hitch (2005),<http://dbpedia.org/resource/Hitch_(film)>
her (2013),<http://dbpedia.org/resource/Her_(film)>
buddy (1997),<http://dbpedia.org/resource/Buddy_(1997_film)>
the night before (2015),<http://dbpedia.org/resource/The_Night_Before_(2015_film)>
mixed nuts (1994),<http://dbpedia.org/resource/Mixed_Nuts>
the wedding singer (1998),<http://dbpedia.org/resource/The_Wedding_Singer>
anger management (2003),<http://dbpedia.org/resource/Anger_Management_(film)>
"three weeks, three kids (2011)",<http://dbpedia.org/resource/Playing_with_Fire_(2019_film)>
rogue one (2016),<http://dbpedia.org/resource/Rogue_One>
solo (1996),<http://dbpedia.org/resource/Solo_(1996_film)>
child's play (2019),<http://dbpedia.org/resource/Child's_Play_(2019_film)>
venom (2018),<http://dbpedia.org/resource/Venom_(2018_film)>
howard the duck (1986),<http://dbpedia.org/resource/Howard_the_Duck_(film)>
death wish (2018),<http://dbpedia.org/resource/Death_Wish_(2018_film)>
mission: impossible - fallout (2018),<http://dbpedia.org/resource/Deadpool_(film)>
bronson (2008),<http://dbpedia.org/resource/Bronson_(film)>
more (1998),<http://dbpedia.org/resource/More_(1998_film)>
unrest (2006),<http://dbpedia.org/resource/Unrest_(2006_film)>
let me in (2010),<http://dbpedia.org/resource/Let_Me_In_(film)>
chloe (2009),<http://dbpedia.org/resource/Chloe_(2009_film)>
the stranger (1946),<http://dbpedia.org/resource/The_Stranger_(1946_film)>
infinity (1996),<http://dbpedia.org/resource/Infinity_(film)>
iron man 2 (2010),<http://dbpedia.org/resource/Iron_Man_2>
saturday night (2010),<http://dbpedia.org/resource/Saturday_Night_(2010_film)>
holmes & watson (2018),<http://dbpedia.org/resource/Holmes_&_Watson>
sherlock holmes (2009),<http://dbpedia.org/resource/Sherlock_Holmes_(2009_film)>
black widow (1987),<http://dbpedia.org/resource/Black_Widow_(1987_film)>
spider-man: homecoming 2 (2019),<http://dbpedia.org/resource/Spider-Man_(2002_film)>
avenger (2006),<http://dbpedia.org/resource/Avenger_(film)>
panther (1995),<http://dbpedia.org/resource/Panther_(film)>
ant-man (2015),<http://dbpedia.org/resource/Ant-Man_(film)>
wasp (2003),<http://dbpedia.org/resource/Wasp_(2003_film)>
the watch (2012),<http://dbpedia.org/resource/Amazon_(1997_film)>
captain america (2011),<http://dbpedia.org/resource/Captain_Marvel_(film)>
ride along (2014),<http://dbpedia.org/resource/Ride_Along_(film)>
sully (2016),<http://dbpedia.org/resource/Sully_(film)>
le mans (1971),<http://dbpedia.org/resource/Le_Mans_(film)>
goodfellas (1990),<http://dbpedia.org/resource/Goodfellas>
split (2016),<http://dbpedia.org/resource/Split_(2016_American_film)>
"south park: bigger, longer & uncut (1999)","<http://dbpedia.org/resource/South_Park:_Bigger,_Longer_&_Uncut>"
south park (1997),<http://dbpedia.org/resource/South_Park_(season_1)>
rambo: last blood (2019),<http://dbpedia.org/resource/Rambo:_Last_Blood>
rambo (1982),<http://dbpedia.org/resource/Rambo_(franchise)>
arizona (2018),<http://dbpedia.org/resource/Arizona_(2018_film)>
gabriela (1983),<http://dbpedia.org/resource/Gabriela_(1983_film)>
the curse of la llorona (2019),<http://dbpedia.org/resource/Annabelle_(film)>
harry potter (2001),<http://dbpedia.org/resource/Harry_Potter_(film_series)>
fantastic beasts and where to find them (2016),<http://dbpedia.org/resource/Fantastic_Beasts_and_Where_to_Find_Them_(film)>
fantastic beasts: the crimes of grindelwald (2018),<http://dbpedia.org/resource/Fantastic_Beasts:_The_Crimes_of_Grindelwald>
kill the irishman (2011),<http://dbpedia.org/resource/Kill_the_Irishman>
bridge to terabithia (2007),<http://dbpedia.org/resource/Bridge_to_Terabithia_(2007_film)>
santa clause (1994),<http://dbpedia.org/resource/Paws_(film)>
harry o (1973),<http://dbpedia.org/resource/Happy_(2015_film)>
good luck (1996),<http://dbpedia.org/resource/Good_Luck_(1996_film)>
amber (2014),<http://dbpedia.org/resource/Amber_(TV_series)>
amber (),<http://dbpedia.org/resource/Amber_(singer)>
jupiter ascending (2015),<http://dbpedia.org/resource/Jupiter_Ascending>
everyone (2004),<http://dbpedia.org/resource/Everyone_(film)>
phoenix (2014),<http://dbpedia.org/resource/Phoenix_(2014_film)>
charlie's angels (2000),<http://dbpedia.org/resource/Charlie's_Angels_(2000_film)>
angelina ballerina (2001),<http://dbpedia.org/resource/Maleficent_(film)>
batman beyond: return of the joker (2000),<http://dbpedia.org/resource/Batman_Beyond:_Return_of_the_Joker>
unbreakable (2000),<http://dbpedia.org/resource/Unbreakable_(film)>
deadpool 2 (2018),<http://dbpedia.org/resource/Deadpool_2>
liar liar (1997),<http://dbpedia.org/resource/Liar_Liar>
ace ventura: pet detective (1994),<http://dbpedia.org/resource/Ace_Ventura:_Pet_Detective>
ace ventura: when nature calls (1995),<http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls>
nature calls (2012),<http://dbpedia.org/resource/Nature_Calls>
bruce almighty (2003),<http://dbpedia.org/resource/Bruce_Almighty>
mr. popper's penguins (2011),<http://dbpedia.org/resource/Mr._Popper's_Penguins_(film)>
paycheck (2003),<http://dbpedia.org/resource/Paycheck_(film)>
national lampoon's christmas vacation (1989),<http://dbpedia.org/resource/National_Lampoon's_Christmas_Vacation>
arthur christmas (2011),<http://dbpedia.org/resource/Arthur_Christmas>
aquaman (2018),<http://dbpedia.org/resource/Aquaman_(film)>
hustle & flow (2005),<http://dbpedia.org/resource/Hustle_&_Flow>
harriet (2019),<http://dbpedia.org/resource/Harriet_(film)>
12 years a slave (2013),<http://dbpedia.org/resource/12_Years_a_Slave_(film)>
falling skies (2011),<http://dbpedia.org/resource/Falling_Skies_(season_1)>
earth (2007),<http://dbpedia.org/resource/Earth_(2007_film)>
faking it (2014),<http://dbpedia.org/resource/Faking_It_(American_TV_series)>
tag (2018),<http://dbpedia.org/resource/Tag_(2018_film)>
android (1982),<http://dbpedia.org/resource/Android_(film)>
there's something about mary (1998),<http://dbpedia.org/resource/There's_Something_About_Mary>
mary (2019),<http://dbpedia.org/resource/Mary_(2019_film)>
the truman show (1998),<http://dbpedia.org/resource/The_Truman_Show>
escape to witch mountain (1975),<http://dbpedia.org/resource/Escape_to_Witch_Mountain_(1975_film)>
return from witch mountain (1978),<http://dbpedia.org/resource/Return_from_Witch_Mountain>
the good liar (2019),<http://dbpedia.org/resource/The_Good_Liar>
the family (2013),<http://dbpedia.org/resource/The_Family_(2013_film)>
wonder (2017),<http://dbpedia.org/resource/Wonder_(film)>
family ties (1982),<http://dbpedia.org/resource/Family_Ties>
incredibles 2 (2018),<http://dbpedia.org/resource/Incredibles_2>
the incredibles (2004),<http://dbpedia.org/resource/The_Incredibles_(film_score)>
caddyshack (1980),<http://dbpedia.org/resource/Caddyshack>
stripes (1981),<http://dbpedia.org/resource/Stripes_(film)>
i love you (2005),<http://dbpedia.org/resource/I_Love_You_(2005_Croatian_film)>
haunt (2019),<http://dbpedia.org/resource/Haunt_(2019_film)>
younger and younger (1993),<http://dbpedia.org/resource/Younger_and_Younger>
finding nemo (2003),<http://dbpedia.org/resource/Finding_Nemo>
truth or dare (2018),<http://dbpedia.org/resource/Truth_or_Dare_(2018_film)>
monday (2000),<http://dbpedia.org/resource/Monday_(2000_film)>
train (2008),<http://dbpedia.org/resource/Train_(film)>
antebellum (2020),<http://dbpedia.org/resource/Antebellum_(film)>
the birth of a nation (2016),<http://dbpedia.org/resource/The_Birth_of_a_Nation_(2016_film)>
commando (1985),<http://dbpedia.org/resource/Commando_(1985_film)>
the book of eli (2010),<http://dbpedia.org/resource/The_Book_of_Eli>
wedding crashers (2005),<http://dbpedia.org/resource/Wedding_Crashers>
vantage point (2008),<http://dbpedia.org/resource/Vantage_Point_(film)>
take care (2014),<http://dbpedia.org/resource/Take_Care_(film)>
the lego movie (2014),<http://dbpedia.org/resource/The_Lego_Movie>
127 hours (2010),<http://dbpedia.org/resource/127_Hours>
godzilla (2014),<http://dbpedia.org/resource/Godzilla_(2014_film)>
cloverfield (2008),<http://dbpedia.org/resource/Cloverfield>
pacific rim (2013),<http://dbpedia.org/resource/Pacific_Rim_(film)>
bright (2017),<http://dbpedia.org/resource/Bright_(film)>
training day (2001),<http://dbpedia.org/resource/Training_Day>
new in town (2009),<http://dbpedia.org/resource/New_in_Town>
watchmen (2009),<http://dbpedia.org/resource/Watchmen_(film)>
manhattan (1979),<http://dbpedia.org/resource/Manhattan_(1979_film)>
cops (1922),<http://dbpedia.org/resource/Cops_(film)>
tulsa (1949),<http://dbpedia.org/resource/Tulsa_(film)>
the thin blue line (1988),<http://dbpedia.org/resource/The_Thin_Blue_Line_(1988_film)>
titicut follies (1967),<http://dbpedia.org/resource/Titicut_Follies>
extremely dangerous (1999),<http://dbpedia.org/resource/Extremely_Dangerous>
amazon (1997),<http://dbpedia.org/resource/Found_(film)>
fast & furious 6 (2013),<http://dbpedia.org/resource/Fast_&_Furious_6>
australia (2008),<http://dbpedia.org/resource/Australia_(2008_film)>
hahaha (2010),<http://dbpedia.org/resource/Hahaha_(film)>
due date (2010),<http://dbpedia.org/resource/Due_Date>
sleepless in seattle (1993),<http://dbpedia.org/resource/Sleepless_in_Seattle>
the secret life of walter mitty (2013),<http://dbpedia.org/resource/The_Secret_Life_of_Walter_Mitty_(2013_film)>
el camino: a breaking bad movie (2019),<http://dbpedia.org/resource/El_Camino:_A_Breaking_Bad_Movie>
dragon (2011),<http://dbpedia.org/resource/Dragon_(2011_film)>
how to train your dragon 2 (2014),<http://dbpedia.org/resource/How_to_Train_Your_Dragon_2>
law abiding citizen (2009),<http://dbpedia.org/resource/Law_Abiding_Citizen>
boston legal (2004),<http://dbpedia.org/resource/Boston_Legal>
pitch perfect (2012),<http://dbpedia.org/resource/Pitch_Perfect>
the dark crystal (1982),<http://dbpedia.org/resource/The_Dark_Crystal>
labyrinth (1986),<http://dbpedia.org/resource/Labyrinth_(1986_film)>
clash of the titans (2010),<http://dbpedia.org/resource/Clash_of_the_Titans_(2010_film)>
highlander (1986),<http://dbpedia.org/resource/Highlander_(film)>
sleepy hollow (1999),<http://dbpedia.org/resource/Sleepy_Hollow_(film)>
rings (2017),<http://dbpedia.org/resource/Rings_(2017_film)>
pan's labyrinth (2006),<http://dbpedia.org/resource/Pan's_Labyrinth>
power rangers (2017),<http://dbpedia.org/resource/Power_Rangers_(film)>
logan (2017),<http://dbpedia.org/resource/Logan_(film)>
annihilation (2018),<http://dbpedia.org/resource/Annihilation_(film)>
edge of tomorrow (2014),<http://dbpedia.org/resource/Edge_of_Tomorrow>
long shot (2019),<http://dbpedia.org/resource/Long_Shot_(2019_film)>
lady and the tramp (1955),<http://dbpedia.org/resource/Lady_and_the_Tramp>
wall-e (2008),<http://dbpedia.org/resource/Toy_Story_(franchise)>
dora the explorer (2000),<http://dbpedia.org/resource/Dora_the_Explorer>
jeff (1969),<http://dbpedia.org/resource/Jeff_(1969_film)>
indiana jones (1981),<http://dbpedia.org/resource/Indiana_Jones>
lincoln (2012),<http://dbpedia.org/resource/Lincoln_(film)>
widows (2018),<http://dbpedia.org/resource/Widows_(2018_film)>
7 women (1966),<http://dbpedia.org/resource/7_Women>
the maze runner (2014),<http://dbpedia.org/resource/The_Maze_Runner_(film)>
entertainment (2015),<http://dbpedia.org/resource/Entertainment_(2015_film)>
la la land (2016),<http://dbpedia.org/resource/La_La_Land>
geronimo (1962),<http://dbpedia.org/resource/Geronimo_(1962_film)>
jason bourne (2016),<http://dbpedia.org/resource/Jason_Bourne_(film)>
the bourne legacy (2012),<http://dbpedia.org/resource/The_Bourne_Legacy_(film)>
wolves (2014),<http://dbpedia.org/resource/Wolves_(2014_film)>
dream house (2011),<http://dbpedia.org/resource/Dream_House_(2011_film)>
defiance (2008),<http://dbpedia.org/resource/Defiance_(2008_film)>
casino royale (2006),<http://dbpedia.org/resource/Casino_Royale_(2006_film)>
mirror mirror (2012),<http://dbpedia.org/resource/Mirror_Mirror_(film)>
road house (1989),<http://dbpedia.org/resource/Road_House_(1989_film)>
dances with wolves (1990),<http://dbpedia.org/resource/Dances_with_Wolves>
platoon (1986),<http://dbpedia.org/resource/Platoon_(film)>
american reunion (2012),<http://dbpedia.org/resource/American_Reunion>
the big lebowski (1998),<http://dbpedia.org/resource/The_Big_Lebowski>
changeling (2008),<http://dbpedia.org/resource/Changeling_(film)>
don't let go (2019),<http://dbpedia.org/resource/Don't_Let_Go_(2019_film)>
louisiana story (1948),<http://dbpedia.org/resource/Louisiana_Story>
moana (2016),<http://dbpedia.org/resource/Moana_(2016_film)>
full of life (1956),<http://dbpedia.org/resource/Full_of_Life>
the holiday (2006),<http://dbpedia.org/resource/The_Holiday>
krampus (2015),<http://dbpedia.org/resource/Krampus_(film)>
dirty dancing (1987),<http://dbpedia.org/resource/Dirty_Dancing>
the christmas gift (1986),<http://dbpedia.org/resource/The_Christmas_Gift>
river (2016),<http://dbpedia.org/resource/River_(Bishop_Briggs_song)>
spotlight (2015),<http://dbpedia.org/resource/Spotlight_(film)>
suspense (1946),<http://dbpedia.org/resource/Suspense_(1946_film)>
adam (2009),<http://dbpedia.org/resource/Adam_(2009_film)>
scrooged (1988),<http://dbpedia.org/resource/Scrooged>
kids (1995),<http://dbpedia.org/resource/Kids_(film)>
friday the 13th (1980),<http://dbpedia.org/resource/Friday_the_13th_(1980_film)>
taxi driver (1976),<http://dbpedia.org/resource/Taxi_Driver>
homeward bound: the incredible journey (1993),<http://dbpedia.org/resource/Homeward_Bound:_The_Incredible_Journey>
white snake (2019),<http://dbpedia.org/resource/White_Snake_(film)>
the star (2017),<http://dbpedia.org/resource/The_Star_(2017_film)>
star trek (1979),<http://dbpedia.org/resource/Star_Trek_(1979_pinball)>
uncle buck (1989),<http://dbpedia.org/resource/Uncle_Buck>
zathura (2005),<http://dbpedia.org/resource/Jumanji>
booksmart (2019),<http://dbpedia.org/resource/Booksmart>
late night (2019),<http://dbpedia.org/resource/Late_Night_(film)>
welcome to the jungle (2013),<http://dbpedia.org/resource/Welcome_to_the_Jungle_(2013_film)>
the raid 2 (2014),<http://dbpedia.org/resource/The_Raid_2>
the case for christ (2017),<http://dbpedia.org/resource/The_Case_for_Christ>
drive (2011),<http://dbpedia.org/resource/Drive_(2011_film)>
nightcrawler (2014),<http://dbpedia.org/resource/Nightcrawler_(film)>
twice born (2012),<http://dbpedia.org/resource/Masterpiece_(2017_film)>
vincent (1982),<http://dbpedia.org/resource/Vincent_(1982_film)>
heat (1995),<http://dbpedia.org/resource/Heat_(1995_film)>
identity thief (2013),<http://dbpedia.org/resource/Identity_Thief>
the silence of the lambs (1991),<http://dbpedia.org/resource/The_Silence_of_the_Lambs_(film)>
the lamb (1915),<http://dbpedia.org/resource/The_Lamb_(1915_film)>
seven (1979),<http://dbpedia.org/resource/Seven_(1979_film)>
zodiac (2007),<http://dbpedia.org/resource/Zodiac_(film)>
jack the ripper (1988),<http://dbpedia.org/resource/Jack_the_Ripper_(miniseries)>
checking out (2005),<http://dbpedia.org/resource/Checking_Out_(2005_film)>
addicted (2014),<http://dbpedia.org/resource/Addicted_(2014_film)>
good (2008),<http://dbpedia.org/resource/Good_(film)>
the silence (2019),<http://dbpedia.org/resource/The_Silence_(2019_film)>
monty python and the holy grail (1975),<http://dbpedia.org/resource/Monty_Python_and_the_Holy_Grail>
being john malkovich (1999),<http://dbpedia.org/resource/Being_John_Malkovich>
a rainy day in new york (2019),<http://dbpedia.org/resource/A_Rainy_Day_in_New_York>
how to train your dragon: the hidden world (2019),<http://dbpedia.org/resource/How_to_Train_Your_Dragon:_The_Hidden_World>
fast & furious (2009),<http://dbpedia.org/resource/Fast_&_Furious_(2009_film)>
my old lady (2014),<http://dbpedia.org/resource/My_Old_Lady_(film)>
bean (1997),<http://dbpedia.org/resource/Bean_(film)>
mr. bean (1990),<http://dbpedia.org/resource/Mr._Bean>
klaus (2019),<http://dbpedia.org/resource/Klaus_(film)>
cold pursuit (2019),<http://dbpedia.org/resource/Cold_Pursuit>
the highwaymen (2019),<http://dbpedia.org/resource/The_Highwaymen_(film)>
october (2018),<http://dbpedia.org/resource/October_(2018_film)>
the boy (2016),<http://dbpedia.org/resource/The_Boy_(2016_film)>
helen (2009),<http://dbpedia.org/resource/Helen_(2009_film)>
cats (2019),<http://dbpedia.org/resource/Cats_(2019_film)>
fingers (1978),<http://dbpedia.org/resource/Fingers_(1978_film)>
jiro dreams of sushi (2011),<http://dbpedia.org/resource/Jiro_Dreams_of_Sushi>
tell me who i am (2019),<http://dbpedia.org/resource/Tell_Me_Who_I_Am>
behind the curve (2018),<http://dbpedia.org/resource/Behind_the_Curve>
the witch (2015),<http://dbpedia.org/resource/The_Witch_(2015_film)>
somewhere (2010),<http://dbpedia.org/resource/Somewhere_(film)>
stranger things (2016),<http://dbpedia.org/resource/Stranger_Things>
3 from hell (2019),<http://dbpedia.org/resource/3_from_Hell>
the devil's rejects (2005),<http://dbpedia.org/resource/The_Devil's_Rejects>
31 (2016),<http://dbpedia.org/resource/31_(film)>
my family (2000),<http://dbpedia.org/resource/My_Family>
black swan (2010),<http://dbpedia.org/resource/Black_Swan_(film)>
dolemite (1975),<http://dbpedia.org/resource/Dolemite>
beverly hills cop (1984),<http://dbpedia.org/resource/Beverly_Hills_Cop>
kiss kiss bang bang (2005),<http://dbpedia.org/resource/Kiss_Kiss_Bang_Bang>
snatch (2000),<http://dbpedia.org/resource/Snatch_(film)>
rosemary's baby (1968),<http://dbpedia.org/resource/Rosemary's_Baby_(film)>
avengers: infinity war (2018),<http://dbpedia.org/resource/Avengers:_Infinity_War>
i am number four (2011),<http://dbpedia.org/resource/I_Am_Number_Four_(film)>
